"Crop","Kc_ini","Kc_mid","Kc_end"
"Barley",0.3,1.15,0.25
"Oats",0.3,1.15,0.25
"Spring_Wheat_Kc_end_min",0.3,1.15,0.25
"Spring_Wheat_Kc_end_max",0.3,1.15,0.4
"Winter_Wheat_with_frozen_soils_Kc_end_min",0.4,1.15,0.25
"Winter_Wheat_with_frozen_soils_Kc_end_max",0.4,1.15,0.4
"Winter_Wheat_with_non_frozen_soils_Kc_end_min",0.7,1.15,0.25
"Winter_Wheat_with_non_frozen_soils_Kc_end_max",0.7,1.15,0.4
"Maize_Field_grain_field_corn_Kc_end_min",0.3,1.2,0.35
"Maize_Field_grain_field_corn_Kc_end_max",0.3,1.2,0.6
"Maize_Sweet_sweet_corn",0.3,1.15,1.05
"Millet",0.3,1,0.3
"Sorghum_grain_Kc_mid_min",0.3,1,0.55
"Sorghum_grain_Kc_mid_max",0.3,1.1,0.55
"Sorghum_sweet",0.3,1.2,1.05
"Rice_Kc_end_min",1.05,1.2,0.9
"Rice_Kc_end_max",1.05,1.2,0.6
