"Crop","Kc_ini","Kc_mid","Kc_end"
"Almonds_no_ground_cover",0.4,0.9,0.65
"Apples_Cherries_Pears_no_ground_cover_killing_frost",0.45,0.95,0.7
"Apples_Cherries_Pears_no_ground_cover_no_frosts",0.6,0.95,0.75
"Apples_Cherries_Pears_active_ground_cover_killing_frost",0.5,1.2,0.95
"Apples_Cherries_Pears_active_ground_cover_no_frosts",0.8,1.2,0.85
"Apricots_Peaches_Stone_Fruit_no_ground_cover_killing_frost",0.45,0.9,0.65
"Apricots_Peaches_Stone_Fruit_no_ground_cover_no_frosts",0.55,0.9,0.65
"Apricots_Peaches_Stone_Fruit_active_ground_cover_killing_frost",0.5,1.15,0.9
"Apricots_Peaches_Stone_Fruit_active_ground_cover_no_frosts",0.8,1.15,0.85
"Avocado_no_ground_cover",0.6,0.85,0.75
"Citrus_no_ground_cover_70prcnt_canopy",0.7,0.65,0.7
"Citrus_no_ground_cover_50prcnt_canopy",0.65,0.6,0.65
"Citrus_no_ground_cover_20prcnt_canopy",0.5,0.45,0.55
"Citrus_with_active_ground_cover_or_weeds_70prcnt_canopy",0.75,0.7,0.75
"Citrus_with_active_ground_cover_or_weeds_50prcnt_canopy",0.8,0.8,0.8
"Citrus_with_active_ground_cover_or_weeds_20prcnt_canopy",0.85,0.85,0.85
"Conifer_Trees",1,1,1
"Kiwi",0.4,1.05,1.05
"Olives_40_to_60prcnt_ground_coverage_by_canopy",0.65,0.7,0.7
"Pistachios_no_ground_cover",0.4,1.1,0.45
"Walnut_Orchard",0.5,1.1,0.65
